,product_name,Product_Number,Bluetooth,Main Camera Resolution,Internal Memory,Processor,Battery Capacity,Display Resolution,Display Size (inch),Network,Weight (g),Processor,Dimensions,RAM,Talk Time,image
26,256129,Xiaomi Redmi 4X,Bluetooth 4.1,13MP,32GB,Snapdragon 435 processor max. 1.4GHz,4000/4100mAh (min/typ),1280 x 720,5 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4(1700 MHz), B5 (850 MHz), B7 (2600 MHz), B8 (900 MHz), B20(800 MHz)",150g,Snapdragon 435 processor max. 1.4GHz,139.24 x 69.96 x 8.65mm,3GB,36 hrs,05b0b6f8158577d4b04c68dec77de6aef6a5e360.jpg
27,255515,SUGAR Y9,Bluetooth™ 4.1,13MP AF,32GB,Qualcomm® Snapdragon™ 425 MSM8917 64-bit 1.4GHz Quad-Core Processor,3000 mAh,1280 x 720 pixels,5.5” HD  display,"TD-LTE: B38, B39, B40, B41",160 g,Qualcomm® Snapdragon™ 425 MSM8917 64-bit 1.4GHz Quad-Core Processor,154.4 x 76.4 x7.9 mm,3GB,15 hours (2G) / 12 hours (3G),5184109b520a4fa94f7772ee52cc736f2868979e.jpg
28,256055,Motorola Moto E4 Plus,Bluetooth™ 4.2,13 Megapixels,32GB,MTK6737 1.3GHz Quad Core Processor,5000 mAh,1280 x 720 pixels,5.5” HD  display,TDD-LTE: B40(2300),198 g,MTK6737 1.3GHz Quad Core Processor,155 x 77.5 x 9.55 mm,3GB,22.3 hours (3G) / 22.4 hours (LTE),8a610073e2c96986f964b11e87592818d917d8cf.jpg
29,256718,Huawei nova 2 Plus,Bluetooth 4.2,12MP + 8MP Dual Rear Camera,128GB,HUAWEI Kirin 659 Octa-core processor (4*Cortex A53 2.36GHz + 4*Cortex A53 1.7GHz),"3,240mAh non removable battery",1080p (1920 x 1080),5.5 inches,4G TDD LTE: Band 38/39/40/41,169g,HUAWEI Kirin 659 Octa-core processor (4*Cortex A53 2.36GHz + 4*Cortex A53 1.7GHz),153.9 x 74.9 x 6.90 mm,4GB,about 20 hours,5ea1cae783566ca1004755d31ce39ab301e60739.jpg
30,254954,Xiaomi Mi Max 2,Bluetooth 4.2,12MP Camera,64GB,Snapdragon 625 Octa-core 2.0GHz,5200/5300mAh (min/typ),1920 x 1080,6.44 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B5 (850 MHz), B7 (2600 MHz), B8 (900 MHz)",211g,Snapdragon 625 Octa-core 2.0GHz,174.1 x 88.7 x 7.6mm,4GB,57 hrs,7b67d2b7973b133fe92f5afc0ac64c8173866c6c.jpg
31,250473,Sony Xperia™ XZ Premium,Bluetooth™ 5.0,19 Megapixels with 25mm wide-angle lens Motion Eye™ camera & Sony Exmor RS™ for mobile image sensor,64GB,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,3230 mAh,2160 x 3840 pixels,5.5inch 4K display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",191g,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,156 x 77 x 7.9 mm,4GB,14.5 hours (2G) / 24.6 hours (3G),4d55693e3ea82e1dda0c0ffacbc251539e5ebc52.jpg
32,251210,HTC U11,Bluetooth 4.2,"12MP (HTC UltraPixel™ 3、1.4µm), UltraSpeed Auto focus, HDR Boost, OIS, BSI sensor, f/1.7,  4K video recording with 3D Audio, Hi-Res audio, Acoustic Focus",128GB,"Qualcomm® Snapdragon™ 835, 64bit, Octa Core, up to 2.45GHz",3000mAh non removable battery,1440 x 2560,5.5” screen,"SIM1 / SIM2
FDD-LTE: B1 (2100MHz)/ B3 (1800MHz)/ B4 (1700MHz) / B5(850MHz) /B7 (2600MHz)/ B8 (900MHz)/ B12 (700MHz) / B17 (700MHz)/ B20 (800MHz) / B28 (700MHz)/ B32 (1500MHz)",169g,"Qualcomm® Snapdragon™ 835, 64bit, Octa Core, up to 2.45GHz",153.9 x 75.9 x 7.9mm,6GB,Up to 24.5 hours for 4/3G,4160ad03298e281d1a3ebc763503ee6a7559470d.jpg
33,250930,Sony Xperia™ XA1 Ultra,Bluetooth™ 4.2,23 Megapixels with 24mm wide-angle lens & Sony Exmor RS™ image sensor,64GB,MediaTek MT6757 2.3GHz 64-bit Octa Core Processor,2700 mAh,1920 x 1080 pixels,6” Full HD  display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",188 g,MediaTek MT6757 2.3GHz 64-bit Octa Core Processor,165 x 79 x 8.1 mm,4GB,13.3 hours (2G) / 11.9 hours (3G),12624539cf057d279fde8c3c16a1373b9731861e.jpg
34,249445,MEIZU M3 Max,V4.1,1300 mega-pixels camera,64GB,MediaTek Helio P10 8-core processor 4*A53 1.8G + 4*A53 1.0G,4100mAh build-in battery,1920 x 1080 (368PPI),6 inches,"GSM: 850/900/1800/1900,",189g,MediaTek Helio P10 8-core processor 4*A53 1.8G + 4*A53 1.0G,163.4 × 81.6 × 7.9mm,3GB,N/A,c9d886ccef2fd3f1c8bd9a16ef3130c7fdd98757.jpg
35,254543,LG G6+,v4.2 BLE,Primary Rear: 13 MP (F1.8 Normal 71°) with OIS 2.0,128GB ROM,Qualcomm® Snapdragon 821™ Quad Core 2.35GHz Processor,3300 mAh (Li-Ion) Built-in Battery,1440x2880,5.7inch,GSM 850(B5)/ 900(B8)/ 1800(B3)/ 1900(B2) MHz,163 g,Qualcomm® Snapdragon 821™ Quad Core 2.35GHz Processor,148.9 X 71.9 X 7.9 mm,4GB RAM,30 hrs (2G) / 26 hrs (3G),909df2e9c3ca2f5a3d345cef11d363f83c72e13e.jpg
