,product_name,Product_Number,Bluetooth,Main Camera Resolution,Internal Memory,Processor,Battery Capacity,Display Resolution,Display Size (inch),Network,Weight (g),Processor,Dimensions,RAM,Talk Time,image,price,key features
28,255515,SUGAR Y9,Bluetooth™ 4.1,13MP AF,32GB,Qualcomm® Snapdragon™ 425 MSM8917 64-bit 1.4GHz Quad-Core Processor,3000 mAh,1280 x 720 pixels,5.5” HD  display,"TD-LTE: B38, B39, B40, B41",160 g,Qualcomm® Snapdragon™ 425 MSM8917 64-bit 1.4GHz Quad-Core Processor,154.4 x 76.4 x7.9 mm,3GB,15 hours (2G) / 12 hours (3G),5184109b520a4fa94f7772ee52cc736f2868979e.jpg,1298.0,"25 Mega Pixel Super Pixel shooting^
8 MP front beauty mode video recording
1 Press to video recording/camera mode/flash light
5.5” HD IPS Display
Speedy Fingerprint unlock
^ Visidon Technology, combine two 13 mega-pixel photos into 1 photo"
29,256129,Xiaomi Redmi 4X,Bluetooth 4.1,13MP,32GB,Snapdragon 435 processor max. 1.4GHz,4000/4100mAh (min/typ),1280 x 720,5 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4(1700 MHz), B5 (850 MHz), B7 (2600 MHz), B8 (900 MHz), B20(800 MHz)",150g,Snapdragon 435 processor max. 1.4GHz,139.24 x 69.96 x 8.65mm,3GB,36 hrs,05b0b6f8158577d4b04c68dec77de6aef6a5e360.jpg,999.0,"Qualcomm Snapdragon 435 Octa-Core Processor
13MP Main Camera
4100mAh large capacity battery
5“High Resolution Display 
Fingerprint Recognition"
30,250930,Sony Xperia™ XA1 Ultra,Bluetooth™ 4.2,23 Megapixels with 24mm wide-angle lens & Sony Exmor RS™ image sensor,64GB,MediaTek MT6757 2.3GHz 64-bit Octa Core Processor,2700 mAh,1920 x 1080 pixels,6” Full HD  display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",188 g,MediaTek MT6757 2.3GHz 64-bit Octa Core Processor,165 x 79 x 8.1 mm,4GB,13.3 hours (2G) / 11.9 hours (3G),12624539cf057d279fde8c3c16a1373b9731861e.jpg,3298.0,"6” FHD screen with borderless design
16MP selfie camera with hand shutter function
Advanced 23 MP main camera
Night portrait flash for both main camera and selfie camera
0.6s quick launch and capture camera
High speed Octa-core processor
Qnovo Adaptive Charging technology with Pump Express+ 2.0 quick charge"
31,250473,Sony Xperia™ XZ Premium,Bluetooth™ 5.0,19 Megapixels with 25mm wide-angle lens Motion Eye™ camera & Sony Exmor RS™ for mobile image sensor,64GB,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,3230 mAh,2160 x 3840 pixels,5.5inch 4K display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",191g,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,156 x 77 x 7.9 mm,4GB,14.5 hours (2G) / 24.6 hours (3G),4d55693e3ea82e1dda0c0ffacbc251539e5ebc52.jpg,5998.0,"World’s first smartphone with a 4K HDR display(1)
4K UHD HDR 5.5inch screen and upscale contents below 4K resolution to 4K quality 
Equipped with latest Snapdragon™ 835 processor, high processing power
Motion Eye™ features Super Slow Motion video at 960fps and Predictive Capture functions
Highest level IP68 water resistant and dust-tight(2) design
Loop surface design with dual Corning® Gorilla® Glass® 5, luxurious mirror effect on the back
Ground breaking  Qnovo Adaptive Charging and Battery Care technologies 
(1) Xperia™ XZ Premium features a 4K UHD (2160 x 3840 pixels) High Dynamic Range 5.5 inch display. Verified by Strategy Analytics  SpecTRAX Service against the published display specifications for over 9800 smartphones. Correct as of the 16thDecember 2016.
(2) Xperia™ XZ Premium is water resistant and protected against dust, so don’t worry if you get caught in the rain or want to wash off dirt under a tap water, but remember all ports and attached covers should be firmly closed. You should not put the device completely underwater; or expose it to seawater, salt water, chlorinated water or liquids such as drinks. Abuse and improper use of device will invalidate warranty. The device has been tested under Ingress Protection rating IP65/68. For more info, see http://support.sonymobile.com/global-en/dm/waterproof. Note the Xperia™ XZ Premium has a capless USB port to connect and charge. The USB port needs to be completely dry before charging."
32,249444,MEIZU MX6,V4.1,12 mega-pixels camera,32GB,MediaTek Helio X20 10-core processor (A53 1.4GHz x4 + A53 1.9GHz x4 + A72 2.3GHz x2),3060mAh (Typ.) Built-in Battery,1920 x 1080 (403PPI),5.5 inches,"GSM: 850/900/1800/1900,",155g,MediaTek Helio X20 10-core processor (A53 1.4GHz x4 + A53 1.9GHz x4 + A72 2.3GHz x2),153.6 x 75.2 x 7.25mm,4GB,N/A,f0dd60269af86c47c1070ddbe6d6fe997d3abcd7.jpg,1999.0,"MediaTek Helio X20 10-core processor (A53 1.4GHz x4 + A53 1.9GHz x4 + A72 2.3GHz x2)
4GB LPDDR3 RAM
12 mega-pixels camera (Sony IMX386 CMOS sensor、 ƒ/2.0 aperture、0.2s high-speed PDAF)
5 mega-pixels front camera (FotoNation 2.0)
5.5 inches 1920x1080 Full HD SHARP TDDI display
mCharge 3.0 fast charging, 24W peak charging power
mTouch 2.1 fingerprint identity sensor"
33,249433,MEIZU Pro 6 Plus,V4.1,12 mega-pixels camera,128GB,SAMSUNG Exynos 8890 8-core processor (Exynos M1 2.3GHz x4 + ARM® Cortex®-A53™ 1.6GHz x4),3400mAh (Typ.),2560x 1440 (518PPI),5.7 inches,"GSM: 850/900/1800/1900,",158g,SAMSUNG Exynos 8890 8-core processor (Exynos M1 2.3GHz x4 + ARM® Cortex®-A53™ 1.6GHz x4),155.6 x 77.3 x 7.3 mm,4GB,N/A,f753ff8dc57b7eda244010940470fdbae800aeb3.jpg,3759.0,"SAMSUNG Exynos 8890 8-core processor (Exynos M1 2.3GHz x4 + ARM® Cortex®-A53™ 1.6GHz x4)
4GB LPDDR4 RAM
12 mega-pixels camera(Sony IMX386 sensor、ƒ/2.0 large aperture、4-axis OIS、PDAF phase focusing、Laser-aided focusing)
5 mega-pixels front camera, ArcSoft® beautification algorithm
5.7 inches 2560x1440 QuadHD Super AMOLE D display
mCharge  fast charging
mTouch 2.1 fingerprint identity sensor, Live Finger Detecton
UFS 2.0 ultra-fast memory
32-bit 192KHz DAC, ESS ES9018K2M decoder chip, 2nd generation Solo earphone circuit
USB 3.1 Type-C"
34,254954,Xiaomi Mi Max 2,Bluetooth 4.2,12MP Camera,64GB,Snapdragon 625 Octa-core 2.0GHz,5200/5300mAh (min/typ),1920 x 1080,6.44 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B5 (850 MHz), B7 (2600 MHz), B8 (900 MHz)",211g,Snapdragon 625 Octa-core 2.0GHz,174.1 x 88.7 x 7.6mm,4GB,57 hrs,7b67d2b7973b133fe92f5afc0ac64c8173866c6c.jpg,1899.0,"Qualcomm Snapdragon 625 Processor
12MP Main Camera
5300mAh large capacity battery
6.44”Large Display 
Fingerprint Recognition"
35,249445,MEIZU M3 Max,V4.1,1300 mega-pixels camera,64GB,MediaTek Helio P10 8-core processor 4*A53 1.8G + 4*A53 1.0G,4100mAh build-in battery,1920 x 1080 (368PPI),6 inches,"GSM: 850/900/1800/1900,",189g,MediaTek Helio P10 8-core processor 4*A53 1.8G + 4*A53 1.0G,163.4 × 81.6 × 7.9mm,3GB,N/A,c9d886ccef2fd3f1c8bd9a16ef3130c7fdd98757.jpg,1859.0,"MediaTek Helio P10 8-core processor 4*A53 1.8G + 4*A53 1.0G
13 mega-pixels camera(Sony IMX258 CMOS sensor,  0.2s high-speed phase detection AF)
5 mega-pixels front camera
6 inches 1920x1080 Full HD IPS display
Flyme 5 (based on Android 6.0)
Selfie Beauty features
Support 128GB Micro SD
4100mAh Battery
mCharge 12V/2A Fast charging (Half hour of charging up to 45%)
Micro USB"
36,254543,LG G6+,v4.2 BLE,Primary Rear: 13 MP (F1.8 Normal 71°) with OIS 2.0,128GB ROM,Qualcomm® Snapdragon 821™ Quad Core 2.35GHz Processor,3300 mAh (Li-Ion) Built-in Battery,1440x2880,5.7inch,GSM 850(B5)/ 900(B8)/ 1800(B3)/ 1900(B2) MHz,163 g,Qualcomm® Snapdragon 821™ Quad Core 2.35GHz Processor,148.9 X 71.9 X 7.9 mm,4GB RAM,30 hrs (2G) / 26 hrs (3G),909df2e9c3ca2f5a3d345cef11d363f83c72e13e.jpg,5698.0,"Brand new 18:9 display offers more viewing space 
5.7” QHD+ screen with slim body design for one hand grip
LG first Dolby Vision supported smartphone to provide theatre-grade immersive viewing experience
Hi-Fi Quad DAC upsamples ordinary music to 32-bit Hi-Fi quality
Front and rear wide angle2` lenses to capture more
IP68 water resistant and dust proof standard"
37,251210,HTC U11,Bluetooth 4.2,"12MP (HTC UltraPixel™ 3、1.4µm), UltraSpeed Auto focus, HDR Boost, OIS, BSI sensor, f/1.7,  4K video recording with 3D Audio, Hi-Res audio, Acoustic Focus",128GB,"Qualcomm® Snapdragon™ 835, 64bit, Octa Core, up to 2.45GHz",3000mAh non removable battery,1440 x 2560,5.5” screen,"SIM1 / SIM2
FDD-LTE: B1 (2100MHz)/ B3 (1800MHz)/ B4 (1700MHz) / B5(850MHz) /B7 (2600MHz)/ B8 (900MHz)/ B12 (700MHz) / B17 (700MHz)/ B20 (800MHz) / B28 (700MHz)/ B32 (1500MHz)",169g,"Qualcomm® Snapdragon™ 835, 64bit, Octa Core, up to 2.45GHz",153.9 x 75.9 x 7.9mm,6GB,Up to 24.5 hours for 4/3G,4160ad03298e281d1a3ebc763503ee6a7559470d.jpg,5598.0,"HTC Edge Sense Squeeze Interaction 
Supreme Specification: Qualcomm™ Snapdragon™ 835 processor with 6GB + 128GB 
Highest DxOMarks  ever awarded to a smartphone camera*
New Acoustic Focus Filming Technology 
USonic with Active Noise Cancellation 
* Based on DxOMark ratings: dxomark.com/Mobiles， updated as of 16th May 2017"
38,248229,FREETEL MUSASHI,Bluetooth™ 4.0,8 Megapixels,8GB,MT6735M 1.0GHz Quad Core Processor,2000 mAh,(Front) 800 x 480 (WVGA) / (Inner) 800 x 480 (WVGA),(Front) 4.0 inch /  (Inner) 4.0 inch,"FDD-LTE (Bands 1, 3, 8 , 19)",198 g,MT6735M 1.0GHz Quad Core Processor,123.1 x 63.1 x 17.6  mm,1GB,490 minute,64943c5d631622b35c02f99daadfdd34a32508f8.jpg,1498.0,"Equipped with a physical keypad, two-cell phone type smartphone
MT6735M 1.0GHz quad-core processor
With two 4.0-inch large LCD display screen
Equipped with high-resolution 8 mega pixel camera
Removable 2000mAh battery passenger volume"
39,245836,MEITU T8,Support,2100M,128GB,MT6797 Deca-core 2.3GHz,3580mAh,1080*1920,5.2 inch,2G GSM：Band 2/3/5/8,170g,MT6797 Deca-core 2.3GHz,158.4*71.5*9.3mm,4GB,"1400分鐘（2G）,900分鐘（3G）/ 1400 mins (2G), 900 mins (3G)",06153f31c3e401a81e1526587b6a492353e618e4.jpg,4888.0,"Full metal design
Front dual pixel OIS selfie camera
AI Beautifying Effect camera
Large battery capacity and support fast charging"
40,244025,Apple IPHONE SE 128GB,Bluetooth 4.2,12‑megapixel iSight camera with 1.22µ pixels,Up to 128GB,A9 chip,N/A,1136 x 640 pixels,4-inch (diagonal) LED‑backlit widescreen Multi-Touch display,LTE (頻段 1、2、3、4、5、7、8、12、17、18、19、20、25、26、28),113(with battery),A9 chip,123.8 x 58.6 x 7.6,2GB,14 hours on 3G,2719a74ef45e401fcd820e42ebe05f73daffcf66.jpg,3788.0,"4 Inch Retina display
12MP Camera, & FaceTime HD Camera
4K video at 30fps
A9 chip with 64‑bit architecture 
Touch ID"
41,243712,Apple IPHONE SE 32GB,Bluetooth 4.2,12‑megapixel iSight camera with 1.22µ pixels,Up to 32GB,A9 chip,N/A,1136 x 640 pixels,4-inch (diagonal) LED‑backlit widescreen Multi-Touch display,LTE (頻段 1、2、3、4、5、7、8、12、17、18、19、20、25、26、28),113g(with battery),A9 chip,123.8 x 58.6 x 7.6  mm,2GB,14 hours on 3G,473e97b8509dcba46b09860e4bc1f0de28325c5a.jpg,2988.0,"4 Inch Retina display
12MP Camera, & FaceTime HD Camera
4K video at 30fps
A9 chip with 64‑bit architecture 
Touch ID"
42,246265,Xiaomi Redmi Note 4X(64GB),Bluetooth 4.1,13MP,64GB,Snapdragon 625 processor max. freq 2.0GHz,N/A,16M colors,5.5 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4(1700MHz), B5 (850 MHz), B7 (2600 Mhz), B8(900MHz), B20(800MHz)",165g,Snapdragon 625 processor max. freq 2.0GHz,151 x 76 x 8.3mm,4GB,51hrs,7f0c868d7cb4e741b56793dd54adccafce5faeb4.jpg,1399.0,"Qualcomm Snapdragon 625 Processor
13MP Main Camera
4000mAh large capacity battery
5.5”Large Display 
Fingerprint Unlocking"
43,246574,Samsung GALAXY S8+(64GB),v5.0 LE up to 2Mbps,Support 12MP Dual Pixel photodiode sensor with faster auto focus,64GB,Octa-core (2.35GHz Quad + 1.9GHz Quad),"3,500 mAh long lasting battery",2960 x 1440 (Quad HD+),"6.2inch (158.1mm , full rectangle) Quad HD+ Super AMOLED
6.1inch (154.5mm , rounded corners) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),",173g,Octa-core (2.35GHz Quad + 1.9GHz Quad),159.5 (L) x 73.4 (W) x 8.1 (D) mm,"64GB, UFS 2.1 (RAM: 4GB LPDDR4)",N/A,5aaf159abdac5e9b064bb89a86f8f4812e9500b1.jpg,6398.0,"Stunning design of infinity Display 18.5: 9 and comfortable single-handed grip**
Best Security to supports Iris scan### and Samsung Pay##
Support Dual Pixel photodiode sensor and Fast auto focus for crisp & Clear selfies
Support Bixby vision and reminder
IP68 dust and water resistance (Can be used for 30 minutes in 1.5m water depth)^
MicroSD card for up to 256GB of additional storage
Fast Charge Function & Wireless Charging Capability▲▲▲▲ 
Support China and Hong Kong 4G & 3G networks++

** Measured diagonally, the screen size is 6.2” in the full rectangle and 6.1” with accounting for the rounded corners
▲▲▲▲ It must be charged by dedicated Samsung Charger and Battery.
^  Please visit www.samsung.com for the Dust and Water Resistance lP68 level :
^^ Subject to local network, data and messaging services.
++ Support 4G Network in HK and China: FDD-LTE and TDD-LTE; 3G Network in HK: WCDMA; 3G Network in China: TD-SCDMA and WCDMA and CDMA. Subject to local network, data and messaging services. If one of the SIM Card is using 4G or 3G Band, the another SIM Card supports 3G or 2G band only, vice versa. Users can choose 4G or 3G network with either SIM 1 or SIM 2 without changing the
### Iris Scanner might not work properly due to environment factors
##The use of Samsung Pay in each place is subject to the laws and regulations of the service territory and any other rules determined by the relevant merchant, payment processor, payment network, regulator, and government authority. You should check the service availability for your region before use of Samsung Pay."
44,246092,Huawei P10 lite,Bluetooth 4.1,12MP,64GB,HUAWEI Kirin 658 Octa-core processor (4*Cortex A53 2.1GHz + 4*Cortex A53 1.7GHz),"3,000mAh non removable battery",1080p (1920 x 1080),5.2 inches,"SIM1: 
4G TDD LTE: Band38/39/40/41(100MHz)",146g,HUAWEI Kirin 658 Octa-core processor (4*Cortex A53 2.1GHz + 4*Cortex A53 1.7GHz),146.5 × 72 × 7.2 mm,4GB LPDDR3,about 21 hours,eeb3d357039116cdd62da100c1317b14bbdb7126.jpg,2380.0,"5.2” Incell Full HD display with eye protection mode  2.0, which effectively filters out blue radiation
12MP superior camera with 8MP front camera
Portrait mode with background blurring
3,000mAh battery capacity with fast charging & intelligent power saving
3 colour available Sapphire Blue, Midnight Black & Platinum Gold"
45,246684,Samsung GALAXY S8+(128GB),v5.0 LE up to 2Mbps,Support 12MP Dual Pixel photodiode sensor with faster auto focus,128GB,Octa-core (2.35GHz Quad + 1.9GHz Quad),"3,500 mAh long lasting battery",2960 x 1440 (Quad HD+),"6.2inch (158.1mm , full rectangle) Quad HD+ Super AMOLED
6.1inch (154.5mm , rounded corners) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),",173g,Octa-core (2.35GHz Quad + 1.9GHz Quad),159.5 (L) x 73.4 (W) x 8.1 (D) mm,"128GB, UFS 2.1 (RAM: 6GB LPDDR4)",N/A,458270d619b8ad0b1426a634ec96a28567079ca4.jpg,6998.0,"Stunning design of infinity Display 18.5: 9 and comfortable single-handed grip**
Best Security to supports Iris scan### and Samsung Pay##
Support Dual Pixel photodiode sensor and Fast auto focus for crisp & Clear selfies
Support Bixby vision and reminder
IP68 dust and water resistance (Can be used for 30 minutes in 1.5m water depth)^
MicroSD card for up to 256GB of additional storage
Fast Charge Function & Wireless Charging Capability▲▲▲▲ 
Support China and Hong Kong 4G & 3G networks++

** Measured diagonally, the screen size is 6.2” in the full rectangle and 6.1” with accounting for the rounded corners
▲▲▲▲ It must be charged by dedicated Samsung Charger and Battery.
^  Please visit www.samsung.com for the Dust and Water Resistance lP68 level :
^^ Subject to local network, data and messaging services.
++ Support 4G Network in HK and China: FDD-LTE and TDD-LTE; 3G Network in HK: WCDMA; 3G Network in China: TD-SCDMA and WCDMA and CDMA. Subject to local network, data and messaging services. If one of the SIM Card is using 4G or 3G Band, the another SIM Card supports 3G or 2G band only, vice versa. Users can choose 4G or 3G network with either SIM 1 or SIM 2 without changing the
### Iris Scanner might not work properly due to environment factors
##The use of Samsung Pay in each place is subject to the laws and regulations of the service territory and any other rules determined by the relevant merchant, payment processor, payment network, regulator, and government authority. You should check the service availability for your region before use of Samsung Pay."
46,246410,Samsung GALAXY S8,"v5.0 LE up to 2Mbps (A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP)",Support 12MP Dual Pixel photodiode sensor with faster auto focus,64GB,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad","3,000 mAh",2960 x 1440 (Quad HD+),"5.8inch (146.5mm, full rectangle) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),",155g,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad",148.9 (L) x 68.1(W) x 8 (D) mm,"Storage: 64GB, UFS 2.1 (RAM: 4GB LPDDR4)",N/A,ad2271773cc23d5e2d6816df286753805f746a42.jpg,5698.0,"Stunning design of infinity Display 18.5: 9 and comfortable single-handed grip**
Best Security to supports Iris scan### and Samsung Pay##
Support Dual Pixel photodiode sensor and Fast auto focus for crisp & Clear selfies
Support Bixby vision and reminder
IP68 dust and water resistance (Can be used for 30 minutes in 1.5m water depth)^
MicroSD card for up to 256GB of additional storage
Fast Charge Function & Wireless Charging Capability▲▲▲▲ 
Support China and Hong Kong 4G & 3G networks++

** Measured diagonally, the screen size is 5.8” in the full rectangle and 5.6” with accounting for the rounded corners
▲▲▲▲ It must be charged by dedicated Samsung Charger and Battery.
^  Please visit www.samsung.com for the Dust and Water Resistance lP68 level :
^^ Subject to local network, data and messaging services.
++ Support 4G Network in HK and China: FDD-LTE and TDD-LTE; 3G Network in HK: WCDMA; 3G Network in China: TD-SCDMA and WCDMA and CDMA. Subject to local network, data and messaging services. If one of the SIM Card is using 4G or 3G Band, the another SIM Card supports 3G or 2G band only, vice versa. Users can choose 4G or 3G network with either SIM 1 or SIM 2 without changing the
### Iris Scanner might not work properly due to environment factors
##The use of Samsung Pay in each place is subject to the laws and regulations of the service territory and any other rules determined by the relevant merchant, payment processor, payment network, regulator, and government authority. You should check the service availability for your region before use of Samsung Pay."
47,243366,LG G6,v4.2 BLE,Primary Rear: 13 MP (F1.8 Normal 71°) with OIS 2.0,64GB,Qualcomm® Snapdragon 821™ Quad-core 2.35GHz,3300 mAh (Li-Ion) embedded battery,1440x2880,5.7inch,GSM 850(B5)/ 900(B8)/ 1800(B3)/ 1900(B2) MHz,163g,Qualcomm® Snapdragon 821™ Quad-core 2.35GHz,148.9 X 71.9 X 7.9mm,4GB,1800 mins (2G) / 1560 mins (3G),0f6018781bc5f1d2584925bb9d75cbb09a09d165.jpg,5998.0,"Brand new 18:9 display offers more viewing space 
5.7” QHD+ screen with slim body design for one hand grip
LG first Dolby Vision supported smartphone to provide theatre-grade immersive viewing experience
Hi-Fi Quad DAC upsamples ordinary music to 32-bit Hi-Fi quality
Front and rear wide angle2` lenses to capture more
IP68 water resistant and dust proof standard"
48,240361,Nokia 6,Bluetooth 4.1,16MP,64 GB e-MMC 5.1,Qualcomm® Snapdragon 430 (MSM8937) Octacore processor,3000mAh,"FullHD (1920 x 1080, 16:9)",5.5 Inch,GSM 850/900/1800/1900 MHz,167g,Qualcomm® Snapdragon 430 (MSM8937) Octacore processor,H: 154 mm x W: 75.8 mm x T: 7.85 mm (8.4 with camera bump),4 GB LPPDDR 3,Up to 18 hours,a663748b1283a1b8687e65834b5b5a4b116df181.jpg,2088.0,"Iconically crafted from a single piece of aluminium together with Gorilla Glass™ display, it is built to last and fits perfectly in your hand 
Bright 5.5” hybrid in-cell  fullHD display with great colour reproduction together with dual speakers, Smart amplifier and Dolby Atmos® create immersive entertainment experience in any situation 
With the f/2.0 aperture 16MP phase detection auto focus camera, built-in scene detection and a dual LED flash, great pictures are just a shot away. 
Latest generation Qualcomm® Octacore processor and 4GB ram, 64GB onboard memory with microSD-support and fingerprint sensor make sure Nokia 6 is always ready to perform 
The latest Android Nougat experience with great features such as Doze to make your battery last longer or new multitasking,  and fast software updates to keep your phone up-to-date and secure"
49,241100,LG K10 2017,v4.2 BLE,13 MP,16GB,Octa Core 1.5 GHz,2800mAh,720 x 1280 pixels,5.3 inches,GSM 850/900/1800/1900 MHz,142g,Octa Core 1.5 GHz,148.7 x 75.3 x 7.9mm,2GB,Up to 420 mins 分鐘 (2G) / Up to 600 mins 分鐘 (3G),d31abd054b831ccfa1813b8c23290261638fc723.jpg,1698.0,"5.3 inch HD Display
13MP camera
5MP wide angle selfie camera 
1.5GHz Octa-core processor
2,800mAh removable battery ,microSD supported"
50,243277,Huawei P10 Plus,N/A,"20MP Monochrome+12MP RGB, F1.8",128GB,HiSilicon Kirin 960 Octa-core (4 x A73 2.4 GHz + 4 x A53 1.8 GHz),"3,750mAh non removable battery",1440p (2560 x 1440),5.5 inches,"SIM1: 
4G TDD LTE: Band38/39/40/41(100MHz)",165g,HiSilicon Kirin 960 Octa-core (4 x A73 2.4 GHz + 4 x A53 1.8 GHz),153.5×74.2×6.98mm,6GB LPDDR4,about 28 hours,97d8607ad422c1e7f054e0e27784fb57e933c24a.jpg,5680.0,"Leica dual camera with Summilux lens (20MP MONO+12MP RGB) with 8MP Leica auto-front front camera
Artistic Portrait mode in Leica Image Style
Ultra-slim design with hyper diamond-cut finishing & trendy colours
Born fast with Kirin 960 & stay fast with EMUI5.1
5.5” 2K display (2,560 x 1,440)
3,750mAh battery capacity with HUAWEI SuperCharge"
51,242272,SUGAR S9,Bluetooth™ 4.0,16MP PDAF,64GB,Qualcomm® MSM8940 64-bit 1.4GHz  Octa-Core Processor,3000  mAh,1920 x 1080 pixels,5.5” Full HD OLED display,"TDD-LTE: Band38(2600), Band39(1900), Band40(2300), Band41(2500)",162 g,Qualcomm® MSM8940 64-bit 1.4GHz  Octa-Core Processor,154.4 x 76.7 x 6.6 mm,4GB,15  hours (2G) / 15 hours (3G),80ec09de79abdb93e26b3338bf854d5c78e09de0.jpg,2980.0,"64-Mega Pixel Photo
One-Press Beauty Mode Video Recording
4GB RAM + 64GB/128 ROM
5.5” OLED 2.5D Display
100% Made in Austria SWAROVSKI Gemstones"
52,241294,Xiaomi Redmi Note 4X(32GB),Bluetooth 4.1,13MP  Camera,32GB,Snapdragon 625 processor max. freq 2.0GHz,4000/4100mAh (min/typ) Non Changeable Lithium-ion polymer battery,1920 x 1080,5.5 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4(1700MHz), B5 (850 MHz), B7 (2600 Mhz), B8(900MHz), B20(800MHz)",165 g,Snapdragon 625 processor max. freq 2.0GHz,151 x 76 x 8.3mm,3GB,51hrs,06ae1ee52948d53d414363febb3227a5983666fa.jpg,1099.0,"Qualcomm Snapdragon 625 Processor
13MP Main Camera
4000mAh large capacity battery
5.5”Large Display 
Fingerprint Unlocking"
53,241979,Samsung GALAXY C5 Pro,"v4.2 (A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP)",16MP Auto-focus Camera with Dual LED Flash (F1.9 aperture),64GB,Octa Core Processor 2.2GHz (Snapdragon 626),"2,600mAh",N/A,5.2inch,"4G FDD-LTE: B1(2100),B3(1800), B5(850), B7(2600),B8(900)",145g,Octa Core Processor 2.2GHz (Snapdragon 626),145.7 (L) x 71.4 (W) x 7.0(D) mm,4GB,N/A,37f674ba8ead89eedad312c6e91930ab9a3103b8.jpg,2998.0,"Brilliant camera features:
16MP Rear & Front Camera with F1.9 aperture (both) 
Front: Beautifying Effect; Auto Flash
Rear: Phase Detection Auto-focus (PDAF); Dual LED flash
Large storage capacity & Smooth multitasking:
64GB internal storage and support microSD up to 256GB
4GB RAM
Octa Core Processor 2.2GHz (Snapdragon626)
Dynamic multimedia experience: 
5.2” FHD Super AMOLED Display 
Maximized audio quality with UHQA
Full metal Slim design: 
7.0 mm thickness 
Refined design in real metal 
Handy for travel:
Support China and Hong Kong 4G & 3G networks++
Dual-SIM Dual-Standby^
++ Support 4G Network in HK and China: FDD-LTE and TDD-LTE; 3G Network in HK: WCDMA; 3G Network in China: TD-SCDMA, WCDMA and CDMA. Subject to local network, data and messaging services. If one of the SIM Card is using 4G or 3G Band, the other SIM Card supports 3G or 2G band only,, vice versa. Users can choose 4G or 3G network ^ with either SIM 1 or SIM 2 without changing the SIM card.
^ Subject to local network, data and messaging services. Users could choose to insert both SIM cards, or card slot 1 with SIM card and card slot 2 with microSD card."
54,243276,Huawei P10,Bluetooth 4.2,"20MP Monochrome+12MP RGB, F2.2",64GB,HiSilicon Kirin 960 Octa-core (4 x A73 2.4 GHz + 4 x A53 1.8 GHz),"3,200mAh non removable battery",1080p (1920 x 1080),5.1 inches,4G TDD LTE: Band38/39/40/41(100MHz),145g,HiSilicon Kirin 960 Octa-core (4 x A73 2.4 GHz + 4 x A53 1.8 GHz),145.3(L)×69.3(W)×6.98mm,4GB LPDDR4,about 23 hours,dbfd08669f37841ac55a5d192b66637f6c480534.jpg,4480.0,"Leica dual camera with Summarit lens (20MP MONO+12MP RGB) with 8MP Leica front camera
Artistic Portrait mode in Leica Image Style
Ultra-slim design with hyper diamond-cut finishing & trendy colours 
Born fast with Kirin 960 & stay fast with EMUI5.1
5.1” FHK display (1,920 x 1,080)
3,200mAh battery capacity with HUAWEI SuperCharge
4GB RAM + 64GB ROM"
55,241104,Xiaomi Mi Note 2,Bluetooth 4.2,22MP Camera,128GB,Snapdragon 821 processor max. freq 2.35GHz,4000/4070mAh (min/typ) Non Changeable Lithium-ion polymer battery,1920 x 1080,5.7 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4 (1700 MHz), B5 (850 MHz), B7 (2600 Mhz), B8 (900 MHz), B12 (700 Mhz), B13 (700 MHz), B17 (700 MHz), B18 (850 MHz), B19(850 MHz), B20(800 MHz), B25 (1900 MHz), B26 (850MHz), B28 (700MHz), B29 (700 MHz),B30 (2600 Mhz);",166 g,Snapdragon 821 processor max. freq 2.35GHz,156.2 x 77.3 x 7.6mm,6GB,46hrs,72fff829e882594198ec8bbe015bff3287cca85a.jpg,3399.0,"Qualcomm Snapdragon 821 Flagship Processor
6GB RAM with 128GB ROM large storage capacity
5.7” Curved OLED Display
22MP High Resolution Camera
NFC Feature 
Fingerprint Unlocking"
